1,Añorbe,42.65732,-1.7149
2,Abáigar,42.64823,-2.14182
3,Adiós,42.68635,-1.73532
4,Aguilar de Codés,42.61249,-2.38987
5,Allo,42.56738,-2.02052
6,Altsasu,42.89999,-2.16516
7,Ancín,42.66047,-2.18885
8,Andosilla,42.38144,-1.67305
9,Aoiz,42.78633,-1.37252
10,Aranarache,42.77979,-2.22924
11,Arano,43.19956,-1.89569
12,Aras,42.56172,-2.356
13,Arbizu,42.91545,-2.03917
14,Arellano,42.60598,-2.04653
15,Areso,43.08209,-1.95198
16,Arguedas,42.17759,-1.59719
17,Aria,42.95283,-1.26584
18,Armañanzas,42.55963,-2.28476
19,Arróniz,42.58823,-2.09237
20,Arruazu,42.92186,-2.00157
21,Artajona,42.58867,-1.76504
22,Artazu,42.69228,-1.83954
23,Atarrabia,42.8323,-1.60735
24,Ayegui,42.65656,-2.03934
25,Azagra,42.3,-1.9
26,Azuelo,42.60844,-2.34987
27,Bakaiku,42.89244,-2.10251
28,Barañáin,42.80567,-1.67731
29,Barásoain,42.60339,-1.64658
30,Bargota,42.55982,-2.31067
31,Barillas,41.96667,-1.63333
32,Beire,42.45415,-1.62101
33,Belascoáin,42.75619,-1.83227
34,Bera,43.28177,-1.68632
35,Berbinzana,42.52779,-1.83419
36,Beriáin,42.73347,-1.64448
37,Berriobeiti,42.85,-1.7
38,Berriozar,42.83067,-1.66648
39,Betelu,43.02555,-1.98029
40,Buñuel,41.98009,-1.44503
41,Burlata,42.82562,-1.61671
42,Cabredo,42.62966,-2.41133
43,Cadreita,42.21667,-1.68333
44,Caparroso,42.34129,-1.64962
45,Carcastillo,42.37908,-1.44376
46,Cascante,41.99769,-1.68098
47,Castejón,42.16912,-1.68951
48,Castillonuevo,42.6827,-1.03121
49,Cárcar,42.39314,-1.97904
50,Cáseda,42.52255,-1.36636
51,Cintruénigo,42.07937,-1.80458
52,Cirauqui,42.67596,-1.89115
53,Ciriza,42.79019,-1.82822
54,Cizur Mayor,42.78795,-1.69065
55,Corella,42.11507,-1.78563
56,Desojo,42.5879,-2.27438
57,Dicastillo,42.59647,-2.02666
58,Doneztebe,43.13333,-1.66667
59,Echarri,42.78017,-1.82525
60,Echarri-Aranaz,42.90791,-2.06474
61,Elgorriaga,43.13858,-1.68657
62,Elorz,42.73258,-1.56152
63,Enériz,42.67095,-1.72794
64,Ermitagaña,42.81084,-1.66409
65,Eslava,42.56459,-1.45947
66,Espronceda,42.59707,-2.30524
67,Estella-Lizarra,42.67182,-2.03226
68,Etayo,42.61695,-2.15447
69,Eulate,42.77641,-2.20638
70,Falces,42.38966,-1.79321
71,Fitero,42.0577,-1.85756
72,Fontellas,42.02694,-1.57648
73,Funes,42.31562,-1.80017
74,Fustiñana,42.02087,-1.48526
75,Galar,42.76147,-1.69881
76,Gallipienzo,42.5245,-1.41115
77,Garínoain,42.60036,-1.64434
78,Garde,42.78937,-0.92589
79,Garralda,42.94818,-1.28624
80,Genevilla,42.6452,-2.39021
81,Goñi,42.85167,-1.90358
82,Goizueta,43.17187,-1.86411
83,Guirguillano,42.71725,-1.87798
84,Huarte-Uharte,42.83035,-1.59087
85,Igantzi,43.22526,-1.70048
86,Igúzquiza,42.64545,-2.08551
87,Irañeta,42.92287,-1.94595
88,Ituren,43.13238,-1.72063
89,Iturmendi,42.88993,-2.11916
90,Iturrama,42.80847,-1.65825
91,Javier,42.59119,-1.20884
92,Lapoblación,42.60478,-2.46008
93,Larraga,42.55841,-1.84954
94,Larraona,42.7797,-2.25682
95,Lazagurría,42.49286,-2.24018
96,Leache,42.60718,-1.40728
97,Legarda,42.71183,-1.76846
98,Legaria,42.64924,-2.17392
99,Lerín,42.48318,-1.97184
100,Lerga,42.56781,-1.5011
101,Lezáun,42.77739,-1.99385
102,Liédena,42.61943,-1.27579
103,Lizoáin,42.79868,-1.46753
104,Lodosa,42.42269,-2.07741
105,Los Arcos,42.57076,-2.19275
106,Lumbier,42.65303,-1.30669
107,Mañeru,42.67001,-1.86297
108,Marañón,42.62941,-2.43931
109,Marcilla,42.32794,-1.73714
110,Mélida,42.35869,-1.54888
111,Mendavia,42.44335,-2.20087
112,Mendigorría,42.62822,-1.8345
113,Metauten,42.67714,-2.13015
